"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2533",643217,"Andrew Benintendi",2017,"2533","100.0","0.271","0.154","0.301","0.424","0.332","0.337","0.260","155","573","81.7","20.4","2208","88.7","88.19","214","1113","1410","-0.5","5.99","113","146","108","148","282","318","301"
"2396",543768,"Travis Shaw",2017,"2396","100.0","0.273","0.240","0.312","0.513","0.361","0.336","0.254","147","538","83.3","19.0","2205","88.6","88.08","229","1081","1306","-0.5","6.02","115","155","120","150","298","317","300"
"1595",460576,"Carlos Gomez",2017,"1595","100.0","0.255","0.207","0.336","0.462","0.343","0.335","0.243","94","368","80.9","19.6","2248","88.4","87.97","268","888","679","-0.4","6.03","105","150","108","146","302","322","294"
"2118",448801,"Chris Davis",2017,"2118","100.0","0.215","0.208","0.301","0.423","0.312","0.335","0.224","98","456","84.2","17.6","2249","88.4","87.54","320","906","1207","-0.9","5.86","116","167","134","149","298","327","301"
"2544",570731,"Jonathan Schoop",2017,"2544","100.0","0.293","0.211","0.330","0.503","0.355","0.334","0.271","182","622","82.0","17.4","2232","88.4","87.66","374","1333","1200","-0.7","5.93","108","150","115","145","300","323","293"
"1921",523253,"Logan Forsythe",2017,"1921","100.0","0.224","0.102","0.299","0.327","0.307","0.334","0.232","81","361","84.0","16.0","2244","89.6","88.97","144","623","1294","-0.6","5.94","109","151","111","146","299","313","290"
"2417",435079,"Ian Kinsler",2017,"2417","100.0","0.236","0.176","0.244","0.412","0.313","0.334","0.256","130","551","82.5","22.2","2244","88.7","88.35","166","1071","1336","-0.3","6.09","109","153","110","147","297","321","288"
"1933",493329,"Yuli Gurriel",2017,"1933","100.0","0.299","0.187","0.308","0.486","0.345","0.333","0.287","158","529","85.1","13.8","2245","88.4","87.85","164","932","991","-0.5","6.01","107","150","115","146","296","322","291"
"1757",657557,"Paul DeJong",2017,"1757","100.0","0.285","0.247","0.349","0.532","0.359","0.333","0.258","119","417","80.5","21.6","2235","88.5","88.30","253","906","847","-0.2","6.04","108","150","112","146","302","317","294"
"2521",594777,"Kole Calhoun",2017,"2521","100.0","0.244","0.148","0.284","0.392","0.314","0.333","0.252","139","569","81.8","15.1","2206","88.4","87.94","311","1204","1302","-0.5","5.99","115","154","111","149","293","321","302"
"1907",576397,"Jedd Gyorko",2017,"1907","100.0","0.272","0.200","0.312","0.472","0.344","0.332","0.243","116","426","82.1","19.0","2232","88.3","87.83","234","916","989","-0.5","5.98","109","151","115","147","303","318","294"
"1692",545341,"Randal Grichuk",2017,"1692","100.0","0.238","0.235","0.293","0.473","0.315","0.332","0.240","98","412","83.7","21.0","2231","88.7","88.27","257","867","823","-0.4","5.97","108","151","113","146","303","319","295"
"1800",572287,"Mike Zunino",2017,"1800","100.0","0.251","0.258","0.355","0.509","0.355","0.332","0.222","97","387","82.5","23.0","2257","89.2","88.74","341","891","901","-0.5","6.06","105","150","116","145","297","319","293"
"2486",405395,"Albert Pujols",2017,"2486","100.0","0.241","0.145","0.249","0.386","0.286","0.331","0.273","143","593","84.7","16.4","2248","88.1","87.64","241","1172","1311","-0.5","5.99","106","152","119","146","306","326","299"
"2171",592663,"J.T. Realmuto",2017,"2171","100.0","0.278","0.173","0.318","0.451","0.332","0.331","0.268","148","532","83.0","15.2","2210","89.1","88.46","201","1047","1114","-0.6","6.05","108","150","112","146","302","316","292"
"1705",445055,"Jon Jay",2017,"1705","100.0","0.296","0.079","0.368","0.375","0.330","0.331","0.282","112","379","79.3","12.6","2186","88.8","88.47","181","878","809","-0.3","6.07","116","148","103","149","282","308","296"
"2890",458731,"Brett Gardner",2017,"2890","100.0","0.264","0.163","0.300","0.428","0.336","0.331","0.261","157","594","81.6","14.7","2220","89.0","88.42","162","1038","1832","-0.6","6.01","110","148","99","148","282","316","294"
"1599",571745,"Mitch Haniger",2017,"1599","100.0","0.282","0.209","0.338","0.491","0.360","0.331","0.250","104","369","82.3","15.8","2255","88.5","88.09","153","671","917","-0.4","6.03","105","149","111","145","297","315","287"
"1939",450314,"Ben Zobrist",2017,"1939","100.0","0.232","0.143","0.251","0.375","0.302","0.330","0.259","101","435","82.2","12.3","2155","89.3","88.90","105","761","1167","-0.4","6.05","114","148","108","149","291","314","295"
